Program_Combo,ID,Count
"A25120G - Business Administration /General Business Administration, A25800A - Accounting and Finance/Accounting, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate, C25800C6 - Accounting and Finance/Accounting Foundations Certificate",['2970294'],1
"A25120G - Business Administration /General Business Administration, A25800F - Accounting and Finance/Financial Services, A50210 - Computer-Integrated Machining, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25800C6 - Accounting and Finance/Accounting Foundations Certificate, C25800C7 - Accounting and Finance/Consumer Financial Services Found Cer, C25800C8 - Accounting and Finance/Business Financial Services Cert, C50210C1 - Computer-Integrated Machining/Basic Machining Certificate",['1035683'],1
"A25120G - Business Administration /General Business Administration, A25800F - Accounting and Finance/Financial Services, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2981911'],1
"A25120G - Business Administration /General Business Administration, A35100 - Air Conditioning, Heating & Refrigeration Technology, C25120C10 - Business Administration /Business Foundations Certificate",['2976258'],1
"A25120G - Business Administration /General Business Administration, A35100 - Air Conditioning, Heating & Refrigeration Technology, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C9 - Business Administration /Organizational Leadership Cert, C35100 - Basic A/C, Heating & Refrigeration",['2958440'],1
"A25120G - Business Administration /General Business Administration, A35100 - Air Conditioning, Heating & Refrigeration Technology, C25120C10 - Business Administration /Business Foundations Certificate, C35100 - Basic A/C, Heating & Refrigeration",['2994234'],1
"A25120G - Business Administration /General Business Administration, A45630 - Health and Fitness Science, C25120C10 - Business Administration /Business Foundations Certificate",['2966299'],1
"A25120G - Business Administration /General Business Administration, A55140 - Cosmetology, C25120C10 - Business Administration /Business Foundations Certificate",['2906318'],1
"A25120G - Business Administration /General Business Administration, A55140 - Cosmetology, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2854606'],1
"A25120G - Business Administration /General Business Administration, A55140 - Cosmetology, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert",['2900052'],1
"A25120G - Business Administration /General Business Administration, A55150 - Culinary Arts, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate",['2856123'],1
"A25120G - Business Administration /General Business Administration, A55150 - Culinary Arts, C25120C10 - Business Administration /Business Foundations Certificate, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate",['2970163'],1
"A25120G - Business Administration /General Business Administration, A55220B - Early Childhood Education/B-K Licensure Transfer, C25120C10 - Business Administration /Business Foundations Certificate, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",['2575396'],1
"A25120G - Business Administration /General Business Administration, A55220G - Early Childhood Education/General Early Childhood Education, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate)",['2977566'],1
"A25120G - Business Administration /General Business Administration, A55260 - Funeral Service Education, C25120C10 - Business Administration /Business Foundations Certificate",['2672313'],1
"A25120G - Business Administration /General Business Administration, A55260 - Funeral Service Education, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2954562'],1
"A25120G - Business Administration /General Business Administration, A60160 - Automotive Systems Technology, C25120C10 - Business Administration /Business Foundations Certificate, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert",['3006174'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C23 - Business Administration/Operations Leadership Certificate",['2973648'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['1112542'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2945674'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25590C17 - Information Technology/Cyber Security Operations Certificate",['2964927'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert",['2988645'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C50420C1 - Welding Technology/Basic Welding Certificate",['2907101'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55220C2 - Early Childhood Education/Child Care Development Certificate",['106696'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",['2504631'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55230 - Esthetics Technology (Certificate)",['2964498'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert, D60160 - Automotive Systems Technology Diploma",['2990070'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C16 - Business Administration /Project Leadership Certificate",['2978772'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C28 - Business Administration/Entrepreneurship Fundamentals Cert, C25800C4 - Accounting and Finance/Small Business Accounting Certificate",['2929819'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2721968'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25310C2 - Medical Office Administration/Medical Coding Spec Cert",['2656561'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma, D35300 - Plumbing (Diploma)",['1152351'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35180 - Carpentry (Diploma)",['2876238'],1
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, D35180 - Carpentry (Diploma)",['2873585'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert",['2958810'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2724750'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2806119'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C21 - Business Administration /Govern Procure & Contracting Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2961864'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate",['2602997'],1
"A10100 - Associate in Arts, A10300 - Associate in General Education, C55220C7 - Early Childhood Education/Special Education Certificate",['2637114'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25800C4 - Accounting and Finance/Small Business Accounting Certificate",['2944868'],1
"A10100 - Associate in Arts, A10300 - Associate in General Education, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool",['2988736'],1
"A25120G - Business Administration /General Business Administration, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55230 - Esthetics Technology (Certificate)",['2943644'],1
"A10100 - Associate in Arts, A10300F - A10300F (FSE-DEGREE)",['2953067'],1
"A25120G - Business Administration /General Business Administration, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert",['771612'],1
"A25120G - Business Administration /General Business Administration, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2576998'],1
"A55460 - Emergency Management, C55460C2 - Emergency Management/Incident Management Certificate, C55460C3 - Emergency Management/Disaster Management Certificate",['2787545'],1
"A10100 - Associate in Arts, A1030N - Associate in General Education-Nursing, A45110 - Associate Degree Nursing",['2939015'],1
"A25120G - Business Administration /General Business Administration, C25310C5 - Medical Office Administration/Patient Services Rep Cert",['1606137'],1
"A25120H - Business Administration /Human Resources Management, A25120O - Business Administration /Operations Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate",['2929050'],1
"A60130 - Collision Repair and Refinishing Technology, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert",['1420850'],1
"A25120H - Business Administration /Human Resources Management, A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2809411'],1
"A25120H - Business Administration /Human Resources Management, A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25120C10 - Business Administration /Business Foundations Certificate, D25310 - Medical Office Administration/Admin Clinical Assist Diploma",['1453644'],1
"A25120H - Business Administration /Human Resources Management, A25490 - Entrepreneurship, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2954642'],1
"A25120H - Business Administration /Human Resources Management, A25490 - Entrepreneurship, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2553613'],1
"A25120H - Business Administration /Human Resources Management, A25590B - Information Technology/Database Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2994632'],1
"A25120H - Business Administration /Human Resources Management, A25590U - Information Technology/Cloud Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25590C8 - Information Technology/Cisco Networking Certificate",['2965668'],1
"A25120H - Business Administration /Human Resources Management, A25620T - Supply Chain Management/Truck Operations Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert, C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert",['2690348'],1
"A25120H - Business Administration /Human Resources Management, A25620T - Supply Chain Management/Truck Operations Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert",['2955040'],1
"A25120H - Business Administration /Human Resources Management, A25800A - Accounting and Finance/Accounting, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate, C25800C6 - Accounting and Finance/Accounting Foundations Certificate",['1302049'],1
"A25120H - Business Administration /Human Resources Management, A35140 - Building Construction Technology, C25120C10 - Business Administration /Business Foundations Certificate, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert",['2787941'],1
"A25120H - Business Administration /Human Resources Management, A55150 - Culinary Arts, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate",['2659985'],1
"A25120H - Business Administration /Human Resources Management, A55180 - Criminal Justice Technology, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert",['448333'],1
"A25120H - Business Administration /Human Resources Management, A55260 - Funeral Service Education, C25120C10 - Business Administration /Business Foundations Certificate, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert",['2952638'],1
"A60130 - Collision Repair and Refinishing Technology, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D60130D1 - Collision Repair and Refinishing Technology Diploma",['2954115'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C21 - Business Administration /Govern Procure & Contracting Cert",['2781686'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert",['2948102'],1
"A60130 - Collision Repair and Refinishing Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert",['2963976'],1
"A60160 - Automotive Systems Technology, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert",['486576'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25310C2 - Medical Office Administration/Medical Coding Spec Cert",['2844134'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25590C17 - Information Technology/Cyber Security Operations Certificate",['2941289'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C9 - Business Administration /Organizational Leadership Cert",['2988486'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert",['2697806'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2623574'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert, C25590C9 - Information Technology/Computer Technologies Certificate",['2624243'],1
"A60160 - Automotive Systems Technology, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, D35180 - Carpentry (Diploma)",['2967498'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25370C1 - Office Management/Basic Office Management Certificate",['2986358'],1
"A60160 - Automotive Systems Technology, C50420C1 - Welding Technology/Basic Welding Certificate, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert, D50420 - Welding Technology",['2571555'],1
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool",['2995486'],1
"A25120H - Business Administration /Human Resources Management, C25120C11 - Business Administration/Small Business Operations Cert, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2952047'],1
"A25120H - Business Administration /Human Resources Management, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert",['1340464'],1
"A25120H - Business Administration /Human Resources Management, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert",['2899418'],1
"A60160 - Automotive Systems Technology, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D60130D1 - Collision Repair and Refinishing Technology Diploma",['2725035'],1
"A25120H - Business Administration /Human Resources Management, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert",['2939935'],1
"A25120H - Business Administration /Human Resources Management, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C26 - Business Administration/Marketing Analytics Certificate, C25620C3 - Supply Chain Management/Supply Chain Analytics Certificate",['2644146'],1
"A25120M - Business Administration /Marketing, A25120O - Business Administration /Operations Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert",['2882676'],1
"A25120M - Business Administration /Marketing, A25120O - Business Administration /Operations Management, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate",['2944853'],1
"A25120M - Business Administration /Marketing, A25200G - Healthcare Management Technology/General Healthcare Mgt Tech, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C24 - Business Administration/Project Management Certificate, C25200C1 - Healthcare Management Technology/HC Access Cust Serv Sp Cert, C25200C2 - Healthcare Management Technology/HC Access Financial Sp Cert",['2554814'],1
"A25120M - Business Administration /Marketing, A25450P - Simulation and Game Development/Game &Interactive Programmer, C25120C10 - Business Administration /Business Foundations Certificate, C25450C1 - Simulation and Game Development/Sgd Basics Certificate, C25450C3 - Simulation and Game Development/Sg Programming Cert",['3007279'],1
"A25120M - Business Administration /Marketing, A25490 - Entrepreneurship, C25120C10 - Business Administration /Business Foundations Certificate",['2840729'],1
"A25120M - Business Administration /Marketing, A25490 - Entrepreneurship, C25120C10 - Business Administration /Business Foundations Certificate, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C13 - Business Administration /E-Marketing Certificate",['2935308'],1
"A25120M - Business Administration /Marketing, A25490 - Entrepreneurship, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert",['2758882'],1
"A25120M - Business Administration /Marketing, A25590E - Information Technology/MultiMedia & Interact Entertainment, C25120C10 - Business Administration /Business Foundations Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",['2824404'],1
"A25120M - Business Administration /Marketing, A25590I - Information Technology/User Interface and Experience Design, C25120C10 - Business Administration /Business Foundations Certificate, C25590C32 - Information Technology/UI-UX Certificate",['844727'],1
"A25120M - Business Administration /Marketing, A25590S - Information Technology/Systems Security & Analysis, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert",['2734643'],1
"A25120M - Business Administration /Marketing, A25590S - Information Technology/Systems Security & Analysis, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25590C21 - Information Technology/Network Defense Spec Certificate",['2602096'],1
"A25120M - Business Administration /Marketing, A25620D - Supply Chain Management/Distribution Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert",['2973867'],1
"A25120M - Business Administration /Marketing, A25620T - Supply Chain Management/Truck Operations Management, C15240C3 - Horticulture Technology/Viticulture Certificate, C25120C10 - Business Administration /Business Foundations Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C20 - Business Administration /Nonprofit & Commun Leadership Cert, C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert",['2915912'],1
"A25120M - Business Administration /Marketing, A25800A - Accounting and Finance/Accounting, C25120C10 - Business Administration /Business Foundations Certificate",['2999357'],1
"A25120M - Business Administration /Marketing, A25800F - Accounting and Finance/Financial Services, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25800C7 - Accounting and Finance/Consumer Financial Services Found Cer, C25800C8 - Accounting and Finance/Business Financial Services Cert",['2788939'],1
"A25120M - Business Administration /Marketing, A30100 - Graphic Design, C25120C10 - Business Administration /Business Foundations Certificate, C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",['2988761'],1
"A25120M - Business Administration /Marketing, A30100 - Graphic Design, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert, C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C2 - Graphic Design/Graphic Design Basics Certificate, C30100C4 - Graphic DesignAdobe Applications Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",['2689992'],1
"A25120M - Business Administration /Marketing, A45740 - Surgical Technology, C25120C10 - Business Administration /Business Foundations Certificate",['2879073'],1
"A25120M - Business Administration /Marketing, A60160 - Automotive Systems Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert",['2868740'],1
"A60160 - Automotive Systems Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert",['2957630'],1
"A25120M - Business Administration /Marketing, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",['2864718'],1
"A60160 - Automotive Systems Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert, D60160 - Automotive Systems Technology Diploma",['2979486'],1
"A25120M - Business Administration /Marketing, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C16 - Business Administration /Project Leadership Certificate",['3001059'],1
"A25120M - Business Administration /Marketing, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert",['1871767'],1
"A25120M - Business Administration /Marketing, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert",['2949697'],1
"A25120M - Business Administration /Marketing, C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35180 - Carpentry (Diploma)",['2715144'],1
